Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,Critic_Score,User_Score
19,Super Mario World,Super Nintendo Entertainment System,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,1990s,Unknown,Unknown
20,Brain Age: Train Your Brain in Minutes a Day,Nintendo DS,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,2000s,77.0,7.9
21,Pokemon Diamond/Pokemon Pearl,Nintendo DS,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,2000s,Unknown,Unknown
22,Super Mario Land,Game Boy,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,1980s,Unknown,Unknown
23,Super Mario Bros. 3,Nintendo Entertainment System,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,1980s,Unknown,Unknown
24,Grand Theft Auto V,Xbox 360,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,2000s,97.0,8.1
25,Grand Theft Auto: Vice City,PlayStation 2,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,2000s,95.0,8.7
26,Pokemon Ruby/Pokemon Sapphire,Game Boy Advance,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,2000s,Unknown,Unknown
27,Pokemon Black/Pokemon White,Nintendo DS,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,2000s,Unknown,Unknown
28,Brain Age 2: More Training in Minutes a Day,Nintendo DS,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,2000s,77.0,7.1
29,Gran Turismo 3: A-Spec,PlayStation 2,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,2000s,95.0,8.4
30,Call of Duty: Modern Warfare 3,Xbox 360,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,2000s,88.0,3.4
31,Pokémon Yellow: Special Pikachu Edition,Game Boy,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,1980s,Unknown,Unknown
32,Call of Duty: Black Ops,Xbox 360,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,2000s,87.0,6.3
33,Pokemon X/Pokemon Y,Nintendo 3DS,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,2010s,Unknown,Unknown
34,Call of Duty: Black Ops 3,PlayStation 4,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,2010s,Unknown,Unknown
35,Call of Duty: Black Ops II,PlayStation 3,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,2000s,83.0,5.3
36,Call of Duty: Black Ops II,Xbox 360,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,2000s,83.0,4.8
37,Call of Duty: Modern Warfare 2,Xbox 360,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,2000s,94.0,6.3
38,Call of Duty: Modern Warfare 3,PlayStation 3,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,2000s,88.0,3.2
39,Grand Theft Auto III,PlayStation 2,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,2000s,97.0,8.5
40,Super Smash Bros. Brawl,Nintendo Wii,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,2000s,93.0,8.9
41,Call of Duty: Black Ops,PlayStation 3,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,2000s,88.0,6.4
42,Animal Crossing: Wild World,Nintendo DS,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,2000s,86.0,8.7
43,Mario Kart 7,Nintendo 3DS,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,2010s,85.0,8.2
44,Halo 3,Xbox 360,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,2000s,94.0,7.8
45,Grand Theft Auto V,PlayStation 4,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,2010s,97.0,8.3
46,Pokemon HeartGold/Pokemon SoulSilver,Nintendo DS,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,2000s,Unknown,Unknown
47,Super Mario 64,Nintendo 64,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,1990s,Unknown,Unknown
48,Gran Turismo 4,PlayStation 2,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,2000s,89.0,8.5
49,Super Mario Galaxy,Nintendo Wii,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,2000s,97.0,8.9
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo 3DS,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,2010s,Unknown,Unknown
51,Super Mario Land 2: 6 Golden Coins,Game Boy,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,1980s,Unknown,Unknown
52,Grand Theft Auto IV,Xbox 360,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,2000s,98.0,7.9
53,Gran Turismo,PlayStation,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,1990s,96.0,8.7
54,Super Mario 3D Land,Nintendo 3DS,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,2010s,90.0,8.4
55,Gran Turismo 5,PlayStation 3,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,2000s,84.0,7.5
56,Call of Duty: Modern Warfare 2,PlayStation 3,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,2000s,94.0,6.3
57,Grand Theft Auto IV,PlayStation 3,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,2000s,98.0,7.5
58,Super Mario All-Stars,Super Nintendo Entertainment System,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,1990s,Unknown,Unknown
59,Pokemon FireRed/Pokemon LeafGreen,Game Boy Advance,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,2000s,Unknown,Unknown
60,Super Mario 64,Nintendo DS,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,2000s,Unknown,Unknown
61,Just Dance 3,Nintendo Wii,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,2000s,74.0,7.8
62,Call of Duty: Ghosts,Xbox 360,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,2000s,73.0,2.6
63,Halo: Reach,Xbox 360,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,2000s,91.0,7.9
64,Mario Kart 64,Nintendo 64,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,1990s,Unknown,Unknown
65,New Super Mario Bros. 2,Nintendo 3DS,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,2010s,78.0,7.2
66,Halo 4,Xbox 360,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,2000s,87.0,7
67,Final Fantasy VII,PlayStation,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,1990s,92.0,9.2
68,Call of Duty: Ghosts,PlayStation 3,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,2000s,71.0,2.6
69,Just Dance 2,Nintendo Wii,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,2000s,74.0,7.3
70,Gran Turismo 2,PlayStation,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,1990s,93.0,9
71,Call of Duty 4: Modern Warfare,Xbox 360,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,2000s,94.0,8.4
72,Donkey Kong Country,Super Nintendo Entertainment System,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,1990s,Unknown,Unknown
73,Minecraft,Xbox 360,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,2000s,Unknown,Unknown
74,Animal Crossing: New Leaf,Nintendo 3DS,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,2010s,88.0,8.7
75,Mario Party DS,Nintendo DS,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,2000s,72.0,7.8
76,The Elder Scrolls V: Skyrim,Xbox 360,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,2000s,96.0,8.4
77,Super Mario Kart,Super Nintendo Entertainment System,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,1990s,Unknown,Unknown
78,FIFA 16,PlayStation 4,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,2010s,82.0,4.3
79,Wii Party,Nintendo Wii,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,2000s,68.0,7.4
80,Halo 2,Xbox,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,2000s,95.0,8.2
81,Mario Party 8,Nintendo Wii,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,2000s,62.0,6.3
82,Pokemon Black 2/Pokemon White 2,Nintendo DS,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,2000s,Unknown,Unknown
83,FIFA Soccer 13,PlayStation 3,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,2000s,88.0,6.6
84,The Sims 3,PC,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,Multi-decade,86.0,7.6
85,GoldenEye 007,Nintendo 64,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,1990s,Unknown,Unknown
86,Mario & Sonic at the Olympic Games,Nintendo Wii,Sports,Sega,2.58,3.9,0.66,0.91,8.06,2000s,Unknown,Unknown
87,Final Fantasy X,PlayStation 2,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,2000s,92.0,8.7
88,Final Fantasy VIII,PlayStation,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,1990s,90.0,8.6
89,Pokémon Platinum Version,Nintendo DS,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,2000s,83.0,8.5
90,Pac-Man,Atari 2600,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,1970s,Unknown,Unknown
91,Grand Theft Auto: Liberty City Stories,PlayStation Portable,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,2000s,88.0,7.6
92,Super Mario Galaxy 2,Nintendo Wii,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,2000s,97.0,9.1
93,Star Wars Battlefront (2015),PlayStation 4,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,2010s,Unknown,Unknown
94,Call of Duty: Advanced Warfare,PlayStation 4,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,2010s,83.0,5.7
95,The Legend of Zelda: Ocarina of Time,Nintendo 64,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,1990s,Unknown,Unknown
96,Crash Bandicoot 2: Cortex Strikes Back,PlayStation,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,1990s,Unknown,Unknown
97,Super Mario Bros. 2,Nintendo Entertainment System,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,1980s,Unknown,Unknown
98,Super Smash Bros. for Wii U and 3DS,Nintendo 3DS,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,2010s,Unknown,Unknown
99,Call of Duty: World at War,Xbox 360,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,2000s,84.0,7.6
100,Battlefield 3,Xbox 360,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,2000s,84.0,7.4
101,The Legend of Zelda: Twilight Princess,Nintendo Wii,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,2000s,95.0,9
102,Call of Duty: Black Ops 3,Xbox One,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,2010s,Unknown,Unknown
103,Just Dance,Nintendo Wii,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,2000s,49.0,8
104,Battlefield 3,PlayStation 3,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,2000s,85.0,7.5
105,Need for Speed Underground,PlayStation 2,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,2000s,85.0,8.6
106,Tekken 3,PlayStation,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,1990s,96.0,9.1
107,Crash Bandicoot 3: Warped,PlayStation,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,1990s,91.0,8.9
108,Super Smash Bros. Melee,GameCube,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,2000s,92.0,9.1
109,Mario Kart 8,Wii U,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,2010s,88.0,9.1
110,Fallout 4,PlayStation 4,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,2010s,87.0,6.5
111,Mario Kart: Double Dash!!,GameCube,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,2000s,Unknown,Unknown
112,Just Dance 4,Nintendo Wii,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,2000s,74.0,7.3
113,FIFA 14,PlayStation 3,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,2000s,86.0,4.3
114,Need for Speed Underground 2,PlayStation 2,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,2000s,82.0,8.6
115,Medal of Honor: Frontline,PlayStation 2,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,2000s,88.0,8.5
116,Uncharted 3: Drake's Deception,PlayStation 3,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,2000s,92.0,8.3
117,Crash Bandicoot,PlayStation,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,1990s,Unknown,Unknown
118,Zumba Fitness,Nintendo Wii,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,2000s,Unknown,tbd
119,Gears of War 2,Xbox 360,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,2000s,93.0,7.7
120,Uncharted 2: Among Thieves,PlayStation 3,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,2000s,96.0,8.8
121,Call of Duty 4: Modern Warfare,PlayStation 3,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,2000s,94.0,8.4
122,FIFA 12,PlayStation 3,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,2000s,Unknown,Unknown
123,Big Brain Academy,Nintendo DS,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,2000s,74.0,7.4
124,Red Dead Redemption,PlayStation 3,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,2000s,95.0,8.8
125,FIFA 15,PlayStation 4,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,2010s,82.0,5.7
126,Donkey Kong Country Returns,Nintendo Wii,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,2000s,87.0,8.6
127,The Elder Scrolls V: Skyrim,PlayStation 3,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,2000s,92.0,6.4
128,The Legend of Zelda,Nintendo Entertainment System,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,1980s,Unknown,Unknown
129,Assassin's Creed III,PlayStation 3,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,2000s,85.0,6.9
130,Halo: Combat Evolved,Xbox,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,2000s,97.0,8.6
131,Pokémon Emerald Version,Game Boy Advance,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,2000s,76.0,9
132,Kingdom Hearts,PlayStation 2,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,2000s,85.0,8.8
133,Pokémon Crystal Version,Game Boy,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,1980s,Unknown,Unknown
134,Halo 3: ODST,Xbox 360,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,2000s,83.0,7.1
135,Red Dead Redemption,Xbox 360,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,2000s,95.0,9
136,Super Mario Sunshine,GameCube,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,2000s,92.0,8.6
137,Street Fighter II: The World Warrior,Super Nintendo Entertainment System,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,1990s,Unknown,Unknown
138,World of Warcraft,PC,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,Multi-decade,93.0,7.3
139,Driver,PlayStation,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,1990s,87.0,8.1
140,Kinect Sports,Xbox 360,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,2000s,73.0,7.4
141,Gears of War 3,Xbox 360,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,2000s,91.0,7.8
142,Gears of War,Xbox 360,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,2000s,94.0,8.3
143,Metal Gear Solid 2: Sons of Liberty,PlayStation 2,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,2000s,96.0,8.7
144,Sonic the Hedgehog 2,Sega Genesis,Platform,Sega,4.47,1.2,0.16,0.19,6.03,1990s,Unknown,Unknown
145,Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,2000s,94.0,8.7
146,Metal Gear Solid,PlayStation,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,1990s,94.0,9.4
147,The Last of Us,PlayStation 3,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,2000s,95.0,9.1
148,Final Fantasy XII,PlayStation 2,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,2000s,92.0,7.6
149,LittleBigPlanet,PlayStation 3,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,2000s,95.0,6.8
150,Dragon Quest IX: Sentinels of the Starry Skies,Nintendo DS,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,2000s,87.0,8.8
151,LEGO Star Wars: The Complete Saga,Nintendo Wii,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,2000s,80.0,8.9
152,Resident Evil 2,PlayStation,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,1990s,89.0,9.2
153,Tekken 2,PlayStation,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,1990s,89.0,8.9
154,Cooking Mama,Nintendo DS,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,2000s,67.0,7.2
155,Destiny,PlayStation 4,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,2010s,76.0,6.1
156,Tetris,Nintendo Entertainment System,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,1980s,Unknown,Unknown
157,Assassin's Creed II,PlayStation 3,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,2000s,91.0,8.6
158,Super Smash Bros.,Nintendo 64,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,1990s,Unknown,Unknown
159,Assassin's Creed,Xbox 360,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,2000s,81.0,7.7
160,Batman: Arkham City,PlayStation 3,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,2000s,96.0,8.6
161,Forza Motorsport 3,Xbox 360,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,2000s,92.0,8
162,Monster Hunter Freedom Unite,PlayStation Portable,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,2000s,81.0,8.7
163,Super Mario Advance,Game Boy Advance,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,2000s,84.0,7.8
164,Mario Kart: Super Circuit,Game Boy Advance,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,2000s,93.0,8.3
165,Super Mario World,Game Boy Advance,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,2000s,Unknown,Unknown
166,Pokemon Stadium,Nintendo 64,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,1990s,Unknown,Unknown
167,Call of Duty: World at War,PlayStation 3,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,2000s,85.0,7.6
168,Crash Bandicoot: The Wrath of Cortex,PlayStation 2,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,2000s,66.0,7.1
169,Minecraft,PlayStation 3,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,2000s,Unknown,Unknown
170,Final Fantasy XIII,PlayStation 3,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,2000s,83.0,7.3
171,Dr. Mario,Game Boy,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,1980s,Unknown,Unknown
172,Pokemon Pinball,Game Boy,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,1980s,Unknown,Unknown
173,Assassin's Creed III,Xbox 360,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,2000s,84.0,6.7
174,Final Fantasy IX,PlayStation,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,1990s,94.0,8.9
175,Final Fantasy X-2,PlayStation 2,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,2000s,85.0,6.6
176,Donkey Kong 64,Nintendo 64,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,1990s,Unknown,Unknown
177,Assassin's Creed II,Xbox 360,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,2000s,90.0,8.8
178,Professor Layton and the Curious Village,Nintendo DS,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,2000s,85.0,8.6
179,Tomb Raider II,PlayStation,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,1990s,85.0,Unknown
180,Madden NFL 2004,PlayStation 2,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,2000s,94.0,8.5
181,Dragon Quest VIII: Journey of the Cursed King,PlayStation 2,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,2000s,89.0,8.8
182,Diablo III,PC,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,Multi-decade,88.0,4
183,Super Mario Bros. 3,Game Boy Advance,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,2000s,Unknown,Unknown
184,New Super Mario Bros. U,Wii U,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,2010s,84.0,8.1
185,Super Mario Land 3: Wario Land,Game Boy,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,1980s,Unknown,Unknown
186,FIFA Soccer 13,Xbox 360,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,2000s,90.0,6.1
187,The Legend of Zelda: Phantom Hourglass,Nintendo DS,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,2000s,90.0,8
188,Donkey Kong Country 2: Diddy's Kong Quest,Super Nintendo Entertainment System,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,1990s,Unknown,Unknown
189,Tomodachi Life,Nintendo 3DS,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,2010s,Unknown,Unknown
190,Mario & Sonic at the Olympic Games,Nintendo DS,Sports,Sega,1.64,2.48,0.44,0.58,5.14,2000s,Unknown,Unknown
191,Medal of Honor: Rising Sun,PlayStation 2,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,2000s,68.0,7.6
192,Kirby's Dream Land,Game Boy,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,1980s,Unknown,Unknown
193,Fable III,Xbox 360,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,2000s,80.0,6.5
194,Call of Duty: Advanced Warfare,Xbox One,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,2010s,81.0,5.4
195,Microsoft Flight Simulator,PC,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,Multi-decade,Unknown,Unknown
196,Guitar Hero II,PlayStation 2,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,2000s,92.0,8.5
197,Resident Evil 5,PlayStation 3,Action,Capcom,1.96,1.43,1.08,0.65,5.11,2000s,84.0,7.5
198,Grand Theft Auto V,Xbox One,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,2010s,97.0,7.9
199,Grand Theft Auto: Vice City Stories,PlayStation Portable,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,2000s,86.0,8
200,FIFA Soccer 11,PlayStation 3,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,2000s,89.0,8
201,Super Mario Bros.,Game Boy,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,1980s,Unknown,Unknown
202,Resident Evil,PlayStation,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,1990s,91.0,9
203,Tony Hawk's Pro Skater,PlayStation,Sports,Activision,3.42,1.38,0.02,0.2,5.02,1990s,92.0,9.2
204,Super Smash Bros. for Wii U and 3DS,Wii U,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02,2010s,Unknown,Unknown
205,Warzone 2100,PlayStation,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,1990s,Unknown,Unknown
206,Spyro the Dragon,PlayStation,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,1990s,Unknown,Unknown
207,Link's Crossbow Training,Nintendo Wii,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,2000s,68.0,7.1
208,Guitar Hero III: Legends of Rock,PlayStation 2,Misc,Activision,3.49,0.01,0.01,1.48,4.98,2000s,82.0,8.2
209,Fallout 3,Xbox 360,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,2000s,93.0,8.5
